Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard.num,Tree,Tissue,TCA,pb1,gentistic.acid,catechin,c.gala,chl.acid,caf.acid,pb2,syr.acid,epicatechin,p.coum,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin,U1,U2
35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,B,Organic ,3,5,SKIN,850.4504505,0,0,0,0,6102.694538,0,10000.93269,595.4987998,13710.40503,0,0,300.2599668,12405.94328,1986.283667,3254.421547,7173.27286,9747.986494,2278.488108,0,0,81.95950678,172.0889203
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,1,PULP,822.0609579,0,0,0,0,7038.421012,14.38133022,507.1461469,0,573.2667063,0,0,0,0,0,0,0,0,774.6985576,0,0,106.4794417,12.20338819
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,2,PULP,801.8876829,0,0,0,0,8439.013763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.64283322,0
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,3,PULP,864.2929807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,4,PULP,849.6,0,0,0,0,5700.26815,26.40369682,253.0449415,0,759.4211925,0,0,0,0,0,0,0,0,0,0,0,85.16006251,9.340641323
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,5,PULP,847.9041916,0,0,0,0,4531.635951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.30967188,0
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,1,SEED,805.6899004,0,0,0,0,189.3134655,0,0,0,0,0,0,0,0,0,0,0,0,9006.137977,0,339.6301314,0,0
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,2,SEED,858.6154624,0,0,0,0,13300.54367,238.1944256,1768.891719,0,0,0,0,0,0,0,0,0,271.6323623,89043.10317,0,37.55796831,0,23.02601876
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,3,SEED,821.2663122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.716184,0,0,0,0
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,4,SEED,826.459144,0,0,0,0,17381.83919,113.0361368,5597.416439,0,2767.322998,0,0,0,0,0,210.8071731,0,881.9393536,76298.47865,0,0,0,69.09753048
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,5,SEED,848.3275087,0,0,0,0,4962.758539,0,392.5313935,0,0,0,0,0,0,0,0,0,0,38044.32833,0,0,0,14.59933931
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,1,SKIN,837.4568753,950.3065056,0,0,0,5055.709694,0,8532.547964,488.9226437,6734.680456,0,0,536.0672864,19004.56937,4205.367415,4288.075636,7483.118428,10446.34437,2525.044116,0,0,43.17417768,119.8480085
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,2,SKIN,843.694141,804.1619246,0,254.9936891,0,6352.583672,0,952.5929637,306.8629936,2352.76167,0,0,659.2586454,11649.02968,3153.220973,3299.598797,6062.635512,8706.030911,3691.349955,0,0,47.24282763,73.58938363
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,3,SKIN,868.7116564,1020.292365,0,0,0,6034.247677,0,7183.708907,428.5042382,5021.378266,0,0,1343.182027,26085.92708,5170.437599,4910.66207,9358.68987,12272.66706,4141.599959,0,0,52.46648089,23.22341965
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,4,SKIN,853.8693467,982.3746759,0,0,0,3563.601633,0,4504.878538,422.2533099,4505.25422,0,0,0,4410.365725,1837.158088,1539.289728,3076.612192,3613.237142,2433.095496,0,0,33.80064432,95.88879661
35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,B,Conventional ,4,5,SKIN,839.1111111,0,0,0,0,3455.428205,0,3336.9119,377.2351931,2637.446618,0,0,536.6873788,11428.48842,2999.59622,2851.778565,5541.89096,6273.753152,1828.006281,0,0,25.88448932,82.36884725
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,1,PULP,796.2511715,0,0,0,0,6310.715698,0,378.2214755,0,461.6217223,0,0,0,0,0,0,0,0,0,0,0,58.69075954,11.04038506
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,2,PULP,865.1731161,0,0,0,0,10355.00976,0,922.1846751,0,846.9570868,0,0,0,1557.401603,0,316.6792495,1193.582472,906.7759869,0,0,0,82.20548239,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,3,PULP,852.1564694,0,0,0,0,5908.758037,0,355.8447297,0,543.7166094,0,0,0,0,0,0,0,332.13573,864.3311263,0,0,43.93276133,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,4,PULP,1809.584665,0,0,0,0,13189.08327,0,728.6153038,0,1528.171634,0,0,0,0,0,0,0,0,1881.053465,0,0,100.6909998,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,5,PULP,825.2549781,0,0,0,0,7505.623277,0,1345.426204,0,1142.495809,0,0,0,0,0,0,0,0,0,0,0,67.29188818,15.06472437
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,1,SEED,845.7939273,0,0,0,0,6891.67565,84.4049076,1181.305845,0,931.0744215,0,0,0,0,0,0,0,0,67761.58232,0,0,0,36.38973486
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,2,SEED,844.9527598,0,0,0,0,2192.217619,10.83378002,0,0,0,0,0,0,0,0,0,0,0,39426.87932,0,0,0,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,3,SEED,834.5776031,0,0,0,0,4534.470802,11.70342982,427.9726252,0,0,0,0,0,0,0,0,0,0,60133.41815,0,0,0,9.257110286
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,4,SEED,862.5380711,0,0,0,0,2652.128779,0,0,0,0,0,0,0,0,0,0,0,0,34684.67143,0,0,0,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,5,SEED,827.2638754,0,0,0,0,3591.233059,0,0,0,0,0,0,0,0,0,0,0,0,33298.66772,0,0,0,0
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,1,SKIN,843.694141,1303.223119,0,0,0,5895.879281,0,3940.696792,593.6833459,4431.679579,0,0,3848.398912,46540.28399,13795.07417,2120.554333,11652.54357,19123.75817,2818.058803,0,0,42.40353511,72.53827854
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,2,SKIN,868.7116564,0,0,0,0,5172.118894,0,4223.038952,384.6314308,4660.739319,0,0,2442.208765,54935.01293,10207.47259,8743.738657,14449.60642,23600.35778,2943.337096,0,0,35.35036884,91.24591803
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,3,SKIN,827.666829,843.8612231,0,0,0,5907.404014,0,3416.63716,359.0027638,3687.89755,0,0,1071.01827,30888.54083,6873.263466,5066.335029,8354.71487,15732.18408,2200.970764,0,0,14.09723902,34.13226757
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,4,SKIN,829.2825769,928.8430709,0,0,0,6978.098108,0,4615.71477,365.0800823,3942.632802,0,0,2395.954413,39263.97182,10099.84298,6063.79383,10055.31139,18693.41359,2271.154568,0,0,35.64242817,72.93025347
35.1985,119.0442,105,79.575,55.03333333,67.30833333,0,20000,Q,Organic ,5,5,SKIN,842.8571429,0,0,0,0,4567.313928,0,753.4007345,500.0985808,568.9832073,0,0,1383.538674,24976.36867,5973.268293,4104.664158,6187.337839,11453.43949,1045.974027,612.0061007,0,12.17639899,25.47566026
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,1,PULP,582.1171634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,2,PULP,869.6008188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,3,PULP,775.5362848,0,0,0,0,4.810534755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,4,PULP,850.0250125,0,0,0,0,6780.993171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0559599,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,5,PULP,852.1564694,0,0,0,0,1280.614166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.24175807,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,1,SEED,746.572935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640.559396,0,153.2908387,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,2,SEED,819.2864031,0,271.9087887,0,0,3632.721185,0,0,0,0,0,0,0,0,0,0,0,0,52151.50203,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,3,SEED,813.0143541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8499.655593,0,56.57246557,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,4,SEED,814.5733461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10120.65061,0,496.2294231,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,5,SEED,839.5256917,0,0,0,0,5951.090546,0,1466.60066,0,1021.674197,0,0,0,0,0,80.29836409,0,51.9030486,38909.59586,0,3.958738475,0,17.38163129
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,1,SKIN,860.7902736,0,0,0,0,90.68761367,0,0,0,0,0,0,0,2016.630258,0,673.3702651,1403.677817,3141.020489,0,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,3,SKIN,804.5454545,0,0,0,0,1295.111315,0,0,0,0,0,0,1418.934438,24432.70686,5691.14605,4098.714941,6287.02921,11001.99006,0,332.917565,0,11.12591242,74.68760625
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,2,SKIN,828.8780488,682.1624409,0,0,0,3305.288021,0,3617.09562,0,3760.746932,0,0,648.836984,18304.9588,3772.62428,3835.008423,6642.131587,11451.23072,1569.332006,0,0,0,0
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,4,SKIN,873.6246787,602.0371546,0,0,0,3105.538501,0,2878.266491,0,4003.86543,0,0,0,3544.293043,1521.557312,182.2052723,2879.122128,5089.035225,0,0,0,11.89158395,61.74610374
36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,D,Organic ,6,5,SKIN,855.5891239,0,0,0,0,3008.127585,0,3163.965251,353.8876203,2543.837357,0,0,774.1728263,25088.803,4684.420712,4292.843365,7056.805051,10021.56221,2553.945601,0,0,10.54779701,65.29048258
38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,E,Organic ,7,1,PULP,847.9041916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,E,Organic ,7,2,PULP,819.6816208,0,0,0,0,115.4992714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.843721735,0
